"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\shared\widgets\card\card.component.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 9, 87
"c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\shared\widgets\pie\pie.component.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 9, 66
"c:\Users\menka\BaRepo\src\environments\environment.prod.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\menka\BaRepo\src\environments\environment.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 11, 3, 17
"c:\Users\menka\BaRepo\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"c:\Users\menka\BaRepo\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\menka\BaRepo\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 55, 8, 64
"c:\Users\menka\BaRepo\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"c:\Users\menka\BaRepo\src\test.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 4, 21
"c:\Users\menka\BaRepo\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\menka\BaRepo\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\menka\BaRepo\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\menka\BaRepo\tslint.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 92
"Total", "-", 234, 37, 1632, 53, 0, 176, 568, 143, 495, 3338
